	N    	seed		Gen
03.in   2	123123		Obican
04.in 	2	1234		Obican
05.in	5	55667788	Obican
06.in	7	2052056		Obican
07.in	6	123121		Obican
08.in	7	20032001	Obican
09.in 	877	12052002	Obican
10.in	922	123123123	Obican
11.in	1000	33223322	Obican
12.in 	999	99889988	Obican
13.in 	1000	17081966	Obican
14.in	1000	100123		Obican
15.in	141423	4443332		Obican
16.in 	189898	1231231		Obican
17.in	200000	44443333	Obican
18.in	200000	123123123	Big
19.in 	197997	33223344	Big
20.in 	200000	2332233		Big
21.in	193113	12332122	Big
22.in 	200000	777767		Big
