File	n	d	q	seed		gen
01.in	3	6	2	rucno		N/A
02.in	500	20	500	23412341	1
03.in	500	50	500	2734623		1
04.in	500	40	500	2341323		1
05.in	500	80	500	2342413		1
06.in	3000	100	3000	123124		1
07.in	3000	30	3000	64564		2
08.in	3000	20	3000	623463		2
09.in	3000	70	3000	654345		1
10.in	3000	40	3000	6463423		1
11.in	3000	N/A	3000	123124		4
12.in	300000	5	300000	238423		3
13.in	300000	7	300000	547362		3
14.in	300000	2	300000	523452		3
15.in	300000	4	300000	714523		3
16.in	300000	N/A	300000	41241		5
17.in	300000	60	300000	4578532		1
18.in	300000	100	300000	4523667		1
19.in	300000	90	300000	654234		1
20.in	300000	125	300000	555666		1
21.in	300000	82	300000	534523		1
22.in	300000	77	300000	123456		1
23.in	300000	500	300000	452341		2
24.in	300000	N/A	300000	123864		4
