01.in	3	2	1	rucno generisan
02.in	3	2	5	rucno generisan
03.in	5	6	0	3
04.in	5	7	1	4
05.in	5	10	10	5
06.in	5	10	100	6
07.in	1000	10000	1	7
08.in	2000	20000	1	8
09.in	10000	100000	1	9
10.in	100000	100000	1	10
11.in	5000	5000	1000000000	11
12.in	5000	10000	1000000000	12
13.in	20000	50000	1000000000	13
14.in	50000	50000	1000000000	14
15.in	5000	5000	1000	15
16.in	5000	10000	1000	16
17.in	20000	50000	1000	17
18.in	50000	50000	1000	18
19.in	100000	100000	1000000000	19
20.in	100000	100000	1000000000	20
21.in	100000	100000	1000000000	21
22.in	100000	100000	1000000000	22
