filename maxX seed rez

01.in 0 0 0
02.in 0 0 0

03.in 50 3868321 2 
04.in 50 5882063 1 
05.in 50 5482914 0 
06.in 50 6959290 1

07.in 200 5892964 1
08.in 200 6939565 2
09.in 200 9679423 1
10.in 200 7939576 0
11.in 200 6590235 0 
12.in 200 7920793 2

13.in 1000000000 8678477 2
14.in 1000000000 6839326 1
15.in 1000000000 5328493 1
16.in 1000000000 8793950 0
17.in 1000000000 9679305 1
18.in 1000000000 9654834 0
19.in 1000000000 7883496 2
20.in 1000000000 7658324 2
21.in 1000000000 8654829 0
22.in 1000000000 7654839 0
